epoch,best_fitness
1,0.3558387584712438
2,0.3558387584712438
3,0.2977255431648241
4,0.2977255431648241
5,0.2977255431648241
6,0.2977255431648241
7,0.2977255431648241
8,0.2977255431648241
9,0.191391470751181
10,0.191391470751181
11,0.191391470751181
12,0.191391470751181
13,0.191391470751181
14,0.148213284253584
15,0.148213284253584
16,0.1114714114672028
17,0.1114714114672028
18,0.1114714114672028
19,0.1114714114672028
20,0.1114714114672028
21,0.07003274990106022
22,0.06844149607868569
23,0.06844149607868569
24,0.06844149607868569
25,0.06844149607868569
26,0.06844149607868569
27,0.06844149607868569
28,0.06844149607868569
29,0.06844149607868569
30,0.06566286120472496
31,0.06566286120472496
32,0.03734962710638182
33,0.03734962710638182
34,0.03734962710638182
35,0.03734962710638182
36,0.03734962710638182
37,0.03734962710638182
38,0.03734962710638182
39,0.03734962710638182
40,0.03734962710638182
41,0.03734962710638182
42,0.03734962710638182
43,0.03734962710638182
44,0.03734962710638182
45,0.03734962710638182
46,0.03734962710638182
47,0.03734962710638182
48,0.03734962710638182
49,0.03734962710638182
50,0.03734962710638182
51,0.03734962710638182
52,0.03689365419895053
53,0.03689365419895053
54,0.03689081145923442
55,0.03689081145923442
56,0.03689081145923442
57,0.03689081145923442
58,0.0368875960916786
59,0.03315203044235396
60,0.03315203044235396
61,0.03315203044235396
62,0.03315203044235396
63,0.03312650665284915
64,0.03312650665284915
65,0.03312650665284915
66,0.03312650665284915
67,0.03312650665284915
68,0.02512340477692228
69,0.02512340477692228
70,0.02512340477692228
71,0.02512340477692228
72,0.02512340477692228
73,0.02512340477692228
74,0.02512340477692228
75,0.02512340477692228
76,0.02512340477692228
77,0.02499575961321028
78,0.02499575961321028
79,0.02499575961321028
80,0.002095298621119741
81,0.002095273056499604
82,0.001979342580294166
83,0.001979342580294166
84,0.001979342580294166
85,0.001979342580294166
86,0.001979342580294166
87,0.001979342580294166
88,0.001979342580294166
89,0.00196519824490375
90,0.001807779188332853
91,0.001807779188332853
92,0.001807779188332853
93,0.001807779188332853
94,0.001807779188332853
95,0.001807766720437982
96,0.001759405081397009
97,0.001759405081397009
98,0.001759405081397009
99,0.001759405081397009
100,0.001759405081397009
101,0.001583232699429506
102,0.001410336607669789
103,0.001410336607669789
104,0.0003013643805158129
105,0.0003013643805158129
106,0.0003013643805158129
107,0.0003013643805158129
108,0.0003013643805158129
109,0.0002469612125879993
110,0.0002469612125879993
111,0.0001808265698689564
112,0.0001808265698689564
113,0.0001238115303771722
114,0.0001238115303771722
115,0.0001237990624823015
116,0.0001237989004785384
117,0.0001237960583072566
118,0.0001237860226004603
119,0.0001237860226004603
120,0.0001235348059230286
121,0.0001223535959855761
122,3.552275084553579e-05
123,3.552275084553579e-05
124,3.552275084553579e-05
125,3.552275084553579e-05
126,2.039610776939949e-05
127,2.039610776939949e-05
128,1.807517648978143e-05
129,1.782846536437424e-05
130,1.782846536437424e-05
131,1.782846536437424e-05
132,1.782846536437424e-05
133,1.782846536437424e-05
134,1.710026910753642e-05
135,1.265812592427618e-05
136,1.265812592427618e-05
137,1.265812592427618e-05
138,1.265812592427618e-05
139,1.265812592427618e-05
140,1.265812592427618e-05
141,1.265812592427618e-05
142,1.265812592427618e-05
143,1.265812592427618e-05
144,1.265812592427618e-05
145,9.476349280296465e-06
146,9.476349280296465e-06
147,9.476349280296465e-06
148,9.476349280296465e-06
149,9.294585321393722e-06
150,9.294585321393722e-06
151,9.294585321393722e-06
152,9.294585321393722e-06
153,9.294585321393722e-06
154,9.218567187203626e-06
155,9.218567187203626e-06
156,9.218567187203626e-06
157,9.218567187203626e-06
158,9.218567187203626e-06
159,9.218567187203626e-06
160,9.218567187203626e-06
161,9.218567187203626e-06
162,8.78856656745815e-06
163,8.78856656745815e-06
164,8.78856656745815e-06
165,8.78856656745815e-06
166,8.78856656745815e-06
167,8.78856656745815e-06
168,8.78856656745815e-06
169,8.78856656745815e-06
170,8.78856656745815e-06
171,8.78856656745815e-06
172,6.88953287726101e-06
173,6.88953287726101e-06
174,4.630370506111484e-06
175,4.630370506111484e-06
